TS	Time	Phase	Temps
2012-04-26 12:00:49.125	48.859	-78.53	310.45
2012-04-26 12:00:49.328	49.062	-78.864	310.45
2012-04-26 12:00:49.531	49.265	-77.952	310.44
2012-04-26 12:00:49.734	49.468	-77.817	310.44
2012-04-26 12:00:49.922	49.656	-78.867	310.45
2012-04-26 12:00:50.125	49.859	-78.283	310.45
2012-04-26 12:00:50.328	50.062	-77.954	310.45
2012-04-26 12:00:50.531	50.265	-77.43	310.45
2012-04-26 12:00:50.734	50.468	-78.161	310.45
2012-04-26 12:00:50.938	50.672	-78.484	310.44
2012-04-26 12:00:51.141	50.875	-78.045	310.44
2012-04-26 12:00:51.328	51.062	-77.256	310.45
2012-04-26 12:00:51.531	51.265	-78.213	310.45
2012-04-26 12:00:51.734	51.468	-77.998	310.45
2012-04-26 12:00:51.938	51.672	-77.694	310.45
2012-04-26 12:00:52.141	51.875	-77.644	310.45
2012-04-26 12:00:52.344	52.078	-77.728	310.45
2012-04-26 12:00:52.531	52.265	-78.054	310.45
2012-04-26 12:00:52.734	52.468	-77.152	310.45
2012-04-26 12:00:52.938	52.672	-77.379	310.45
2012-04-26 12:00:53.141	52.875	-77.182	310.45
2012-04-26 12:00:53.344	53.078	-77.98	310.45
2012-04-26 12:00:53.547	53.281	-77.285	310.44
2012-04-26 12:00:53.750	53.484	-77.145	310.44
2012-04-26 12:00:53.938	53.672	-78.913	310.45
2012-04-26 12:00:54.141	53.875	-78.31	310.45
2012-04-26 12:00:54.344	54.078	-77.994	310.45
2012-04-26 12:00:54.547	54.281	-77.483	310.45
2012-04-26 12:00:54.750	54.484	-76.061	310.45
2012-04-26 12:00:54.953	54.687	-78.704	310.45
2012-04-26 12:00:55.156	54.89	-78.094	310.45
2012-04-26 12:00:55.344	55.078	-77.959	310.45
2012-04-26 12:00:55.547	55.281	-76.767	310.45
2012-04-26 12:00:55.750	55.484	-78.192	310.45
2012-04-26 12:00:55.953	55.687	-78.296	310.45
2012-04-26 12:00:56.156	55.89	-77.123	310.45
2012-04-26 12:00:56.359	56.093	-77.22	310.45
2012-04-26 12:00:56.563	56.297	-78.766	310.45
2012-04-26 12:00:56.750	56.484	-78.648	310.45
2012-04-26 12:00:56.953	56.687	-77.883	310.45
2012-04-26 12:00:57.156	56.89	-77.557	310.45
2012-04-26 12:00:57.359	57.093	-77.583	310.45
2012-04-26 12:00:57.563	57.297	-77.978	310.45
2012-04-26 12:00:57.766	57.5	-77.377	310.45
2012-04-26 12:00:57.953	57.687	-77.542	310.45
2012-04-26 12:00:58.156	57.89	-78.754	310.45
2012-04-26 12:00:58.359	58.093	-78.072	310.45
2012-04-26 12:00:58.563	58.297	-77.254	310.45
2012-04-26 12:00:58.766	58.5	-77.183	310.45
2012-04-26 12:00:58.969	58.703	-77.774	310.44
2012-04-26 12:00:59.172	58.906	-78.16	310.44
2012-04-26 12:00:59.359	59.093	-77.305	310.45
2012-04-26 12:00:59.563	59.297	-77.276	310.45
2012-04-26 12:00:59.766	59.5	-76.696	310.45
2012-04-26 12:00:59.969	59.703	-78.43	310.45
2012-04-26 12:01:00.172	59.906	-76.933	310.44
2012-04-26 12:01:00.375	60.109	-77.126	310.44
2012-04-26 12:01:00.578	60.312	-76.669	310.44
2012-04-26 12:01:00.766	60.5	-77.927	310.44
2012-04-26 12:01:00.969	60.703	-77.662	310.44
2012-04-26 12:01:01.172	60.906	-77.4	310.44
2012-04-26 12:01:01.375	61.109	-77.014	310.44
2012-04-26 12:01:01.578	61.312	-78.231	310.44
2012-04-26 12:01:01.781	61.515	-77.407	310.44
2012-04-26 12:01:01.984	61.718	-76.715	310.44
2012-04-26 12:01:02.172	61.906	-76.917	310.44
2012-04-26 12:01:02.375	62.109	-77.294	310.44
2012-04-26 12:01:02.578	62.312	-77.535	310.44
2012-04-26 12:01:02.781	62.515	-77.684	310.44
2012-04-26 12:01:02.984	62.718	-77.468	310.44
2012-04-26 12:01:03.188	62.922	-79.076	310.44
2012-04-26 12:01:03.391	63.125	-77.739	310.45
2012-04-26 12:01:03.578	63.312	-77.01	310.45
2012-04-26 12:01:03.781	63.515	-77.24	310.45
2012-04-26 12:01:03.984	63.718	-77.773	310.45
2012-04-26 12:01:04.188	63.922	-78.238	310.45
2012-04-26 12:01:04.391	64.125	-77.864	310.45
2012-04-26 12:01:04.594	64.328	-78.281	310.44
2012-04-26 12:01:04.781	64.515	-78.193	310.44
2012-04-26 12:01:04.984	64.718	-78.085	310.44
2012-04-26 12:01:05.188	64.922	-77.294	310.44
2012-04-26 12:01:05.391	65.125	-77.765	310.44
2012-04-26 12:01:05.594	65.328	-78.329	310.44
2012-04-26 12:01:05.797	65.531	-78.452	310.44
2012-04-26 12:01:06.000	65.734	-77.902	310.44
2012-04-26 12:01:06.188	65.922	-77.662	310.44
2012-04-26 12:01:06.391	66.125	-76.887	310.44
2012-04-26 12:01:06.594	66.328	-77.566	310.44
2012-04-26 12:01:06.797	66.531	-77.186	310.43
2012-04-26 12:01:07.000	66.734	-77.139	310.43
2012-04-26 12:01:07.203	66.937	-76.812	310.43
2012-04-26 12:01:07.406	67.14	-77.415	310.43
2012-04-26 12:01:07.594	67.328	-77.635	310.43
2012-04-26 12:01:07.797	67.531	-77.517	310.43
2012-04-26 12:01:08.000	67.734	-76.794	310.43
2012-04-26 12:01:08.203	67.937	-78.118	310.43
2012-04-26 12:01:08.406	68.14	-77.556	310.44
2012-04-26 12:01:08.609	68.343	-77.101	310.44
2012-04-26 12:01:08.812	68.546	-77.627	310.44
2012-04-26 12:01:09.000	68.734	-77.014	310.44
2012-04-26 12:01:09.203	68.937	-77.992	310.44
2012-04-26 12:01:09.406	69.14	-77.352	310.44
2012-04-26 12:01:09.609	69.343	-77.451	310.45
2012-04-26 12:01:09.812	69.546	-78.188	310.45
2012-04-26 12:01:10.016	69.75	-77.68	310.45
2012-04-26 12:01:10.203	69.937	-77.3	310.45
2012-04-26 12:01:10.406	70.14	-77.066	310.45
2012-04-26 12:01:10.609	70.343	-77.239	310.44
2012-04-26 12:01:10.812	70.546	-78.288	310.44
2012-04-26 12:01:11.015	70.749	-77.226	310.44
2012-04-26 12:01:11.219	70.953	-77.244	310.44
2012-04-26 12:01:11.422	71.156	-75.976	310.44
2012-04-26 12:01:11.609	71.343	-77.204	310.44
2012-04-26 12:01:11.812	71.546	-76.928	310.44
2012-04-26 12:01:12.015	71.749	-77.257	310.44
2012-04-26 12:01:12.219	71.953	-77.155	310.44
2012-04-26 12:01:12.422	72.156	-78.372	310.44
2012-04-26 12:01:12.625	72.359	-77.779	310.44
