TS	Tilt	Power	PLL_Locked	TempSensor1	TempSensor2	Milliseconds Elapsed
2018-04-10 08:47:52.531	-0.00	8.072E-6	1	293.070	292.810	5251
2018-04-10 08:47:52.542	-0.00	8.072E-6	1	293.070	292.810	5301
2018-04-10 08:47:52.554	-0.00	8.069E-6	1	293.070	292.810	5351
2018-04-10 08:47:52.675	-0.00	8.071E-6	1	293.060	292.820	5401
2018-04-10 08:47:52.687	-0.00	8.074E-6	1	293.060	292.820	5451
2018-04-10 08:47:52.698	-0.00	8.072E-6	1	293.060	292.820	5501
2018-04-10 08:47:52.819	-0.00	8.071E-6	1	293.060	292.820	5551
2018-04-10 08:47:52.829	-0.00	8.069E-6	1	293.060	292.820	5601
2018-04-10 08:47:52.844	-0.00	8.069E-6	1	293.060	292.820	5651
2018-04-10 08:47:52.966	-0.00	8.071E-6	1	293.060	292.820	5701
2018-04-10 08:47:52.978	-0.00	8.073E-6	1	293.060	292.820	5751
2018-04-10 08:47:52.994	-0.00	8.071E-6	1	293.060	292.820	5801
2018-04-10 08:47:53.126	-0.00	8.073E-6	1	293.080	292.820	5851
2018-04-10 08:47:53.136	-0.00	8.071E-6	1	293.080	292.820	5901
2018-04-10 08:47:53.147	-0.00	8.072E-6	1	293.080	292.820	5951
2018-04-10 08:47:53.265	-0.00	8.071E-6	1	293.080	292.820	6001
2018-04-10 08:47:53.275	-0.00	8.074E-6	1	293.080	292.820	6051
2018-04-10 08:47:53.293	-0.00	8.074E-6	1	293.080	292.820	6101
2018-04-10 08:47:53.419	-0.00	8.073E-6	1	293.080	292.820	6151
2018-04-10 08:47:53.429	-0.00	8.073E-6	1	293.080	292.820	6201
2018-04-10 08:47:53.443	-0.00	8.075E-6	1	293.080	292.820	6251
2018-04-10 08:47:53.562	-0.00	8.072E-6	1	293.070	292.820	6301
2018-04-10 08:47:53.573	-0.00	8.070E-6	1	293.070	292.820	6351
2018-04-10 08:47:53.593	-0.00	8.069E-6	1	293.070	292.820	6401
2018-04-10 08:47:53.674	-0.00	8.073E-6	1	293.070	292.820	6451
2018-04-10 08:47:53.693	-0.00	8.072E-6	1	293.070	292.820	6501
2018-04-10 08:47:53.818	-0.00	8.068E-6	1	293.070	292.820	6551
2018-04-10 08:47:53.829	-0.00	8.068E-6	1	293.070	292.820	6601
2018-04-10 08:47:53.840	-0.00	8.068E-6	1	293.070	292.820	6651
2018-04-10 08:47:53.961	-0.00	8.069E-6	1	293.070	292.820	6701
2018-04-10 08:47:53.971	-0.00	8.068E-6	1	293.070	292.820	6751
2018-04-10 08:47:53.992	-0.00	8.067E-6	1	293.070	292.820	6801
2018-04-10 08:47:54.122	-0.00	8.067E-6	1	293.070	292.820	6851
2018-04-10 08:47:54.132	-0.00	8.067E-6	1	293.070	292.820	6901
2018-04-10 08:47:54.144	-0.00	8.070E-6	1	293.070	292.820	6951
2018-04-10 08:47:54.267	-0.00	8.068E-6	1	293.070	292.820	7001
2018-04-10 08:47:54.278	-0.00	8.072E-6	1	293.070	292.820	7051
2018-04-10 08:47:54.293	-0.00	8.070E-6	1	293.070	292.820	7101
2018-04-10 08:47:54.411	-0.00	8.072E-6	1	293.070	292.820	7151
2018-04-10 08:47:54.422	-0.00	8.074E-6	1	293.070	292.820	7201
2018-04-10 08:47:54.556	-0.00	8.067E-6	1	293.070	292.820	7251
2018-04-10 08:47:54.567	-0.00	8.068E-6	1	293.070	292.820	7301
2018-04-10 08:47:54.579	-0.00	8.068E-6	1	293.070	292.820	7351
2018-04-10 08:47:54.592	-0.00	8.072E-6	1	293.070	292.820	7401
2018-04-10 08:47:54.675	-0.00	8.071E-6	1	293.070	292.820	7451
2018-04-10 08:47:54.693	-0.00	8.071E-6	1	293.070	292.820	7501
2018-04-10 08:47:54.837	-0.00	8.070E-6	1	293.070	292.820	7551
2018-04-10 08:47:54.849	-0.00	8.068E-6	1	293.070	292.820	7601
2018-04-10 08:47:54.861	-0.00	8.068E-6	1	293.070	292.820	7651
2018-04-10 08:47:54.972	-0.00	8.069E-6	1	293.070	292.820	7701
2018-04-10 08:47:54.983	-0.00	8.069E-6	1	293.070	292.820	7751
2018-04-10 08:47:54.995	-0.00	8.071E-6	1	293.070	292.820	7801
2018-04-10 08:47:55.121	-0.00	8.070E-6	1	293.070	292.820	7851
2018-04-10 08:47:55.133	-0.00	8.072E-6	1	293.070	292.820	7901
2018-04-10 08:47:55.145	-0.00	8.072E-6	1	293.070	292.820	7951
2018-04-10 08:47:55.272	-0.00	8.070E-6	1	293.070	292.820	8001
2018-04-10 08:47:55.282	-0.00	8.069E-6	1	293.070	292.820	8051
2018-04-10 08:47:55.293	-0.00	8.069E-6	1	293.070	292.820	8101
2018-04-10 08:47:55.425	-0.00	8.064E-6	1	293.070	292.820	8151
2018-04-10 08:47:55.435	-0.00	8.068E-6	1	293.070	292.820	8201
2018-04-10 08:47:55.446	-0.00	8.065E-6	1	293.070	292.820	8251
2018-04-10 08:47:55.570	-0.00	8.062E-6	1	293.080	292.820	8301
2018-04-10 08:47:55.580	-0.00	8.070E-6	1	293.080	292.820	8351
2018-04-10 08:47:55.593	-0.00	8.064E-6	1	293.080	292.820	8401
2018-04-10 08:47:55.713	-0.00	8.067E-6	1	293.080	292.810	8451
2018-04-10 08:47:55.724	-0.00	8.070E-6	1	293.080	292.810	8501
2018-04-10 08:47:55.743	-0.00	8.071E-6	1	293.080	292.810	8551
2018-04-10 08:47:55.834	-0.00	8.068E-6	1	293.080	292.810	8601
2018-04-10 08:47:55.845	-0.00	8.065E-6	1	293.080	292.810	8651
2018-04-10 08:47:55.987	-0.00	8.069E-6	1	293.080	292.810	8701
2018-04-10 08:47:55.998	-0.00	8.072E-6	1	293.080	292.810	8751
2018-04-10 08:47:56.009	-0.00	8.075E-6	1	293.080	292.810	8801
2018-04-10 08:47:56.131	-0.00	8.071E-6	1	293.070	292.810	8851
2018-04-10 08:47:56.142	-0.00	8.070E-6	1	293.070	292.810	8901
2018-04-10 08:47:56.154	-0.00	8.070E-6	1	293.070	292.810	8951
2018-04-10 08:47:56.274	-0.00	8.068E-6	1	293.070	292.820	9001
2018-04-10 08:47:56.284	-0.00	8.070E-6	1	293.070	292.820	9051
2018-04-10 08:47:56.296	-0.00	8.070E-6	1	293.070	292.820	9101
2018-04-10 08:47:56.416	-0.00	8.068E-6	1	293.070	292.820	9151
2018-04-10 08:47:56.427	-0.00	8.070E-6	1	293.070	292.820	9201
2018-04-10 08:47:56.443	-0.00	8.071E-6	1	293.070	292.820	9251
2018-04-10 08:47:56.560	-0.00	8.072E-6	1	293.070	292.820	9301
2018-04-10 08:47:56.571	-0.00	8.071E-6	1	293.070	292.820	9351
2018-04-10 08:47:56.584	-0.00	8.073E-6	1	293.070	292.820	9401
2018-04-10 08:47:56.711	-0.00	8.072E-6	1	293.070	292.820	9451
2018-04-10 08:47:56.722	-0.00	8.073E-6	1	293.070	292.820	9501
2018-04-10 08:47:56.743	-0.00	8.073E-6	1	293.070	292.820	9551
2018-04-10 08:47:56.870	-0.00	8.071E-6	1	293.070	292.820	9601
2018-04-10 08:47:56.881	-0.00	8.073E-6	1	293.070	292.820	9651
2018-04-10 08:47:56.893	-0.00	8.072E-6	1	293.070	292.820	9701
2018-04-10 08:47:57.015	-0.00	8.072E-6	1	293.070	292.820	9751
2018-04-10 08:47:57.026	-0.00	8.069E-6	1	293.070	292.820	9801
2018-04-10 08:47:57.043	-0.00	8.072E-6	1	293.070	292.820	9851
2018-04-10 08:47:57.129	-0.00	8.070E-6	1	293.070	292.820	9901
2018-04-10 08:47:57.143	-0.00	8.074E-6	1	293.070	292.820	9951
2018-04-10 08:47:57.274	-0.00	8.073E-6	1	293.070	292.820	10001
2018-04-10 08:47:57.285	-0.00	8.071E-6	1	293.070	292.820	10051
2018-04-10 08:47:57.296	-0.00	8.075E-6	1	293.070	292.820	10101
2018-04-10 08:47:57.429	-0.00	8.075E-6	1	293.070	292.820	10151
2018-04-10 08:47:57.441	-0.00	8.069E-6	1	293.070	292.820	10201
2018-04-10 08:47:57.454	-0.00	8.070E-6	1	293.070	292.820	10251
2018-04-10 08:47:57.572	-0.00	8.071E-6	1	293.070	292.820	10301
2018-04-10 08:47:57.583	-0.00	8.074E-6	1	293.070	292.820	10351
2018-04-10 08:47:57.595	-0.00	8.071E-6	1	293.070	292.820	10401
2018-04-10 08:47:57.717	-0.00	8.069E-6	1	293.070	292.810	10451
2018-04-10 08:47:57.727	-0.00	8.067E-6	1	293.070	292.810	10501
2018-04-10 08:47:57.743	-0.00	8.068E-6	1	293.070	292.810	10551
2018-04-10 08:47:57.865	-0.00	8.071E-6	1	293.070	292.810	10601
2018-04-10 08:47:57.876	-0.00	8.074E-6	1	293.070	292.810	10651
2018-04-10 08:47:57.892	-0.00	8.072E-6	1	293.070	292.810	10701
2018-04-10 08:47:58.026	-0.00	8.072E-6	1	293.070	292.810	10751
2018-04-10 08:47:58.036	-0.00	8.070E-6	1	293.070	292.810	10801
2018-04-10 08:47:58.048	-0.00	8.074E-6	1	293.070	292.810	10851
2018-04-10 08:47:58.147	-0.00	8.072E-6	1	293.070	292.810	10901
2018-04-10 08:47:58.159	-0.00	8.071E-6	1	293.070	292.810	10951
2018-04-10 08:47:58.315	-0.00	8.071E-6	1	293.070	292.830	11001
2018-04-10 08:47:58.325	-0.00	8.071E-6	1	293.070	292.830	11051
2018-04-10 08:47:58.335	-0.00	8.069E-6	1	293.070	292.830	11101
2018-04-10 08:47:58.345	-0.00	8.072E-6	1	293.070	292.830	11151
2018-04-10 08:47:58.426	-0.00	8.071E-6	1	293.070	292.830	11201
2018-04-10 08:47:58.443	-0.00	8.071E-6	1	293.070	292.830	11251
2018-04-10 08:47:58.566	-0.00	8.070E-6	1	293.060	292.830	11301
2018-04-10 08:47:58.576	-0.00	8.070E-6	1	293.060	292.830	11351
2018-04-10 08:47:58.592	-0.00	8.070E-6	1	293.060	292.830	11401
2018-04-10 08:47:58.715	-0.00	8.069E-6	1	293.060	292.810	11451
2018-04-10 08:47:58.726	-0.00	8.064E-6	1	293.060	292.810	11501
2018-04-10 08:47:58.737	-0.00	8.066E-6	1	293.060	292.810	11551
2018-04-10 08:47:58.859	-0.00	8.069E-6	1	293.060	292.810	11601
2018-04-10 08:47:58.871	-0.00	8.071E-6	1	293.060	292.810	11651
2018-04-10 08:47:59.013	-0.00	8.071E-6	1	293.060	292.810	11701
2018-04-10 08:47:59.023	-0.00	8.071E-6	1	293.060	292.810	11751
2018-04-10 08:47:59.034	-0.00	8.072E-6	1	293.060	292.810	11801
2018-04-10 08:47:59.045	-0.00	8.071E-6	1	293.060	292.810	11851
2018-04-10 08:47:59.159	-0.00	8.070E-6	1	293.070	292.810	11901
2018-04-10 08:47:59.169	-0.00	8.071E-6	1	293.070	292.810	11951
2018-04-10 08:47:59.186	-0.00	8.071E-6	1	293.070	292.810	12001
2018-04-10 08:47:59.304	-0.00	8.068E-6	1	293.070	292.820	12051
2018-04-10 08:47:59.314	-0.00	8.072E-6	1	293.070	292.820	12101
2018-04-10 08:47:59.331	-0.00	8.071E-6	1	293.070	292.820	12151
2018-04-10 08:47:59.472	-0.00	8.071E-6	1	293.070	292.820	12201
2018-04-10 08:47:59.482	-0.00	8.071E-6	1	293.070	292.820	12251
2018-04-10 08:47:59.494	-0.00	8.073E-6	1	293.070	292.820	12301
2018-04-10 08:47:59.616	-0.00	8.071E-6	1	293.070	292.820	12351
2018-04-10 08:47:59.626	-0.00	8.072E-6	1	293.070	292.820	12401
2018-04-10 08:47:59.643	-0.00	8.072E-6	1	293.070	292.820	12451
2018-04-10 08:47:59.722	-0.00	8.071E-6	1	293.070	292.820	12501
2018-04-10 08:47:59.867	-0.00	8.072E-6	1	293.070	292.820	12551
2018-04-10 08:47:59.878	-0.00	8.073E-6	1	293.070	292.820	12601
2018-04-10 08:47:59.890	-0.00	8.070E-6	1	293.070	292.820	12651
2018-04-10 08:47:59.901	-0.00	8.071E-6	1	293.070	292.820	12701
2018-04-10 08:48:00.016	-0.00	8.069E-6	1	293.070	292.820	12751
2018-04-10 08:48:00.027	-0.00	8.070E-6	1	293.070	292.820	12801
2018-04-10 08:48:00.043	-0.00	8.070E-6	1	293.070	292.820	12851
2018-04-10 08:48:00.171	-0.00	8.069E-6	1	293.070	292.820	12901
2018-04-10 08:48:00.181	-0.00	8.071E-6	1	293.070	292.820	12951
2018-04-10 08:48:00.193	-0.00	8.071E-6	1	293.070	292.820	13001
2018-04-10 08:48:00.315	-0.00	8.071E-6	1	293.070	292.810	13051
2018-04-10 08:48:00.325	-0.00	8.074E-6	1	293.070	292.810	13101
2018-04-10 08:48:00.343	-0.00	8.069E-6	1	293.070	292.810	13151
2018-04-10 08:48:00.459	-0.00	8.071E-6	1	293.070	292.810	13201
2018-04-10 08:48:00.469	-0.00	8.068E-6	1	293.070	292.810	13251
2018-04-10 08:48:00.614	-0.00	8.070E-6	1	293.080	292.810	13301
2018-04-10 08:48:00.624	-0.00	8.068E-6	1	293.080	292.810	13351
2018-04-10 08:48:00.635	-0.00	8.071E-6	1	293.080	292.810	13401
2018-04-10 08:48:00.646	-0.00	8.075E-6	1	293.080	292.810	13451
2018-04-10 08:48:00.722	-0.00	8.073E-6	1	293.080	292.810	13501
2018-04-10 08:48:00.904	-0.00	8.072E-6	1	293.080	292.810	13551
2018-04-10 08:48:00.915	-0.00	8.072E-6	1	293.080	292.810	13601
2018-04-10 08:48:00.927	-0.00	8.071E-6	1	293.080	292.810	13651
2018-04-10 08:48:00.938	-0.00	8.073E-6	1	293.080	292.810	13701
2018-04-10 08:48:00.948	-0.00	8.072E-6	1	293.080	292.810	13751
2018-04-10 08:48:01.111	-0.00	8.072E-6	1	293.090	292.810	13801
2018-04-10 08:48:01.122	-0.00	8.068E-6	1	293.090	292.810	13851
2018-04-10 08:48:01.133	-0.00	8.070E-6	1	293.090	292.810	13901
2018-04-10 08:48:01.145	-0.00	8.071E-6	1	293.090	292.810	13951
2018-04-10 08:48:01.265	-0.00	8.073E-6	1	293.090	292.820	14001
2018-04-10 08:48:01.275	-0.00	8.071E-6	1	293.090	292.820	14051
2018-04-10 08:48:01.292	-0.00	8.071E-6	1	293.090	292.820	14101
2018-04-10 08:48:01.394	-0.00	8.070E-6	1	293.090	292.820	14151
2018-04-10 08:48:01.404	-0.00	8.072E-6	1	293.090	292.820	14201
2018-04-10 08:48:01.522	-0.00	8.072E-6	1	293.090	292.820	14251
2018-04-10 08:48:01.532	-0.00	8.072E-6	1	293.090	292.820	14301
2018-04-10 08:48:01.543	-0.00	8.072E-6	1	293.090	292.820	14351
2018-04-10 08:48:01.670	-0.00	8.069E-6	1	293.090	292.820	14401
2018-04-10 08:48:01.680	-0.00	8.073E-6	1	293.090	292.820	14451
2018-04-10 08:48:01.692	-0.00	8.073E-6	1	293.090	292.820	14501
2018-04-10 08:48:01.821	-0.00	8.070E-6	1	293.090	292.820	14551
2018-04-10 08:48:01.831	-0.00	8.073E-6	1	293.090	292.820	14601
2018-04-10 08:48:01.842	-0.00	8.072E-6	1	293.090	292.820	14651
2018-04-10 08:48:01.962	-0.00	8.070E-6	1	293.090	292.820	14701
2018-04-10 08:48:01.973	-0.00	8.072E-6	1	293.090	292.820	14751
2018-04-10 08:48:01.984	-0.00	8.068E-6	1	293.090	292.820	14801
2018-04-10 08:48:02.106	-0.00	8.069E-6	1	293.070	292.820	14851
2018-04-10 08:48:02.117	-0.00	8.069E-6	1	293.070	292.820	14901
2018-04-10 08:48:02.266	-0.00	8.069E-6	1	293.070	292.800	14951
2018-04-10 08:48:02.277	-0.00	8.072E-6	1	293.070	292.800	15001
2018-04-10 08:48:02.288	-0.00	8.070E-6	1	293.070	292.800	15051
2018-04-10 08:48:02.299	-0.00	8.070E-6	1	293.070	292.800	15101
2018-04-10 08:48:02.410	-0.00	8.071E-6	1	293.070	292.800	15151
2018-04-10 08:48:02.421	-0.00	8.069E-6	1	293.070	292.800	15201
